person,start,stop,formatted
76,1,53,00:00:01 to 00:00:53
76,59,80,00:00:59 to 00:01:20
195,96,476,00:01:36 to 00:07:56
70,483,805,00:08:03 to 00:13:25
70,811,998,00:13:31 to 00:16:38
371,1011,1528,00:16:51 to 00:25:28
114,1540,1559,00:25:40 to 00:25:59
70,1559,1649,00:25:59 to 00:27:29
112,1657,1670,00:27:37 to 00:27:50
70,1671,1703,00:27:51 to 00:28:23
51,1708,1739,00:28:28 to 00:28:59
70,1740,1790,00:29:00 to 00:29:50
195,1794,1896,00:29:54 to 00:31:36
68,1908,1920,00:31:48 to 00:32:00
195,1920,1966,00:32:00 to 00:32:46
213,1972,1995,00:32:52 to 00:33:15
70,1995,2091,00:33:15 to 00:34:51
195,2113,2180,00:35:13 to 00:36:20
160,2189,2202,00:36:29 to 00:36:42
195,2206,2278,00:36:46 to 00:37:58
23,2286,2306,00:38:06 to 00:38:26
70,2307,2358,00:38:27 to 00:39:18
145,2364,2400,00:39:24 to 00:40:00
371,2426,2456,00:40:26 to 00:40:56
9,2522,2541,00:42:02 to 00:42:21
51,2584,2616,00:43:04 to 00:43:36
70,2620,2682,00:43:40 to 00:44:42
145,2688,2712,00:44:48 to 00:45:12
51,2718,2732,00:45:18 to 00:45:32
51,2738,2751,00:45:38 to 00:45:51
70,2752,2789,00:45:52 to 00:46:29
195,2794,2875,00:46:34 to 00:47:55
208,2882,2909,00:48:02 to 00:48:29
70,2914,3007,00:48:34 to 00:50:07
112,3015,3040,00:50:15 to 00:50:40
195,3043,3102,00:50:43 to 00:51:42
70,3131,3193,00:52:11 to 00:53:13
70,3213,3279,00:53:33 to 00:54:39
68,3284,3300,00:54:44 to 00:55:00
70,3301,3358,00:55:01 to 00:55:58
159,3362,3373,00:56:02 to 00:56:13
269,3398,3417,00:56:38 to 00:56:57
371,3438,3493,00:57:18 to 00:58:13
23,3499,3538,00:58:19 to 00:58:58
70,3540,3659,00:59:00 to 01:00:59
160,3666,3704,01:01:06 to 01:01:44
145,3716,3751,01:01:56 to 01:02:31
166,3775,3789,01:02:55 to 01:03:09
70,3789,3890,01:03:09 to 01:04:50
166,3893,3913,01:04:53 to 01:05:13
70,3913,3972,01:05:13 to 01:06:12
51,3977,4007,01:06:17 to 01:06:47
